City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,belabo,4.9333,13.3,87.4,53,99,3.85,CM,1684146032
319,spearfish,44.4908,-103.8594,49.21,83,0,3.0,US,1684146032
320,tofol,5.3248,163.0078,82.53,80,100,19.8,FM,1684146032
321,bereznik,62.8551,42.7072,69.8,32,55,5.68,RU,1684146033
322,sarangani,5.4033,125.4636,85.1,71,73,11.56,PH,1684146033
323,lichinga,-13.3128,35.2406,73.49,53,75,3.44,MZ,1684146033
324,lethem,3.3803,-59.7968,76.14,90,97,6.58,GY,1684146033
325,yermentau,51.6214,73.1069,63.27,32,32,7.99,KZ,1684146034
326,castel bolognese,44.3207,11.7999,66.11,71,49,4.99,IT,1684146034
327,corumba,-19.0092,-57.6533,60.75,81,0,2.01,BR,1684146034
328,mejit,10.2753,170.8646,81.61,78,75,15.12,MH,1684146034
329,st. john's,47.5649,-52.7093,41.97,89,100,19.57,CA,1684145757
330,okha,53.5739,142.9478,47.53,80,15,9.42,RU,1684146035
331,kristiansund,63.1115,7.732,48.25,87,75,13.8,NO,1684146035
332,greymouth,-42.4667,171.2,46.8,87,50,4.07,NZ,1684145944
333,pingzhuang,42.0372,119.2889,82.72,20,81,14.38,CN,1684145954
334,rio grande,-32.035,-52.0986,58.6,87,56,11.83,BR,1684145768
335,hasaki,35.7333,140.8333,64.22,77,95,14.74,JP,1684145839
336,kamachumu,-1.6186,31.62,75.27,57,16,6.58,TZ,1684146037
337,virac,13.6333,124.2167,75.9,80,93,1.05,PH,1684146037
338,ketchikan,55.3422,-131.6461,55.87,88,0,10.36,US,1684146037
339,constantia,44.1833,28.65,66.88,61,77,13.76,RO,1684146038
340,sao joao da barra,-21.6403,-41.0511,69.89,87,62,3.67,BR,1684146038
341,ostersund,63.1792,14.6357,59.45,33,75,9.22,SE,1684146038
342,jerome,42.7241,-114.5186,54.43,66,0,11.5,US,1684146038
343,shaowu,27.3409,117.4831,76.93,61,99,1.79,CN,1684145741
344,minas de marcona,-15.2119,-75.1103,57.67,88,44,4.12,PE,1684145794
345,cascais,38.6979,-9.4215,69.66,64,20,28.99,PT,1684146039
346,langepas,61.2544,75.2124,48.61,56,100,16.11,RU,1684146039
347,bracebridge,45.0334,-79.3163,36.34,100,0,0.0,CA,1684146039
348,howard springs,-12.497,131.047,82.31,85,99,6.51,AU,1684146040
349,port hedland,-20.3167,118.5667,73.45,46,3,6.91,AU,1684146040
350,manismata,-2.4667,111.0333,82.98,68,35,4.63,ID,1684146040
351,celestun,20.8667,-90.4,73.71,79,100,5.86,MX,1684146040
352,corinto,37.9407,22.9573,68.9,41,90,5.68,GR,1684146040
353,vratsa,43.21,23.5625,59.52,86,100,3.74,BG,1684146041
354,vilyuysk,63.7553,121.6247,48.54,35,79,2.57,RU,1684146041
355,susanville,40.4163,-120.653,48.04,82,0,4.61,US,1684145857
356,chinchilla,-26.75,150.6333,63.43,92,100,8.55,AU,1684146041
357,lloydminster,53.2835,-110.0016,52.02,71,0,6.91,CA,1684146041
358,urucui,-7.2294,-44.5561,76.19,87,98,3.47,BR,1684146042
359,fredericton,45.9454,-66.6656,46.42,59,20,5.75,CA,1684146042
360,yorosso,12.3536,-4.7761,85.33,53,100,5.06,ML,1684146041
361,utrik,11.2278,169.8474,80.92,83,98,15.93,MH,1684146042
362,shiprock,36.7855,-108.687,57.54,63,68,11.56,US,1684145910
363,gadzhiyevo,69.2551,33.3362,42.17,98,96,3.96,RU,1684146043
